,ID,Genus,Species
984,11900033,,
985,11900034,,
986,11900035,,
987,11900036,,
988,11900037,,
989,11900038,,
990,11900039,,
991,11900040,,
992,11900041,,
993,11900042,,
994,11900043,,
995,11900044,,
996,11900045,,
997,11900046,,
998,11900047,,
999,11900048,,
1000,11900049,,
1001,11900050,,
1002,11900051,,
1003,11900052,,
1004,11900053,,
1005,11900054,,
1006,11900055,,
1007,11900056,,
1008,11900057,,
1009,11900058,,
1010,11900059,,
1011,11900060,,
1012,11900061,,
1013,11900062,,
1014,11900063,,
1015,11900064,,
1016,11900065,,
1017,11900066,,
1018,11900067,,
1019,11900068,,
1020,11900069,,
1021,11900070,,
1022,11900071,,
1023,11900072,,
1024,12000001,,
1025,12000002,,
1026,12000003,,
1027,12000004,,
1028,12000005,,
1029,12000006,,
1030,12100001,,
1031,12100002,,
