,ID,Scientific name
614,11100032,Oryzorictes 
615,11100033,Oryzorictes 
616,11100034, 
617,11100035,Micropotamogale 
618,11100036,Micropotamogale 
619,11100037,Micropotamogale 
620,11100038,Potamogale 
621,11100039,Potamogale 
622,11100040, 
623,11100041,Echinops 
624,11100042,Echinops 
625,11100043,Hemicentetes 
626,11100044,Hemicentetes 
627,11100045,Hemicentetes 
628,11100046,Setifer 
629,11100047,Setifer 
630,11100048,Tenrec 
631,11100049,Tenrec 
632,11100050, 
633,11100051, 
634,11100052, 
635,11100053,Carpitalpa 
636,11100054,Carpitalpa 
637,11100055,Chlorotalpa 
638,11100056,Chlorotalpa 
639,11100057,Chlorotalpa 
640,11100058,Chlorotalpa 
641,11100059,Chlorotalpa 
642,11100060,Chlorotalpa 
643,11100061,Chlorotalpa 
644,11100062,Chrysochloris 
645,11100063,Chrysochloris Chrysochloris
646,11100064,Chrysochloris Kilimatalpa
647,11100065,Chrysochloris Chrysochloris
648,11100066,Chrysochloris Kilimatalpa
649,11100067,Chrysochloris Kilimatalpa
650,11100068,Chrysochloris Kilimatalpa
651,11100069,Chrysochloris Kilimatalpa
652,11100070,Chrysochloris Chrysochloris
653,11100071,Chrysospalax 
654,11100072,Chrysospalax 
655,11100073,Chrysospalax 
656,11100074,Chrysospalax 
657,11100075,Chrysospalax 
658,11100076,Chrysospalax 
659,11100077,Chrysospalax 
660,11100078,Chrysospalax 
661,11100079,Chrysospalax 
662,11100080,Cryptochloris 
663,11100081,Cryptochloris 
664,11100082,Cryptochloris 
665,11100083,Eremitalpa 
666,11100084,Eremitalpa 
667,11100085,Eremitalpa 
668,11100086,Eremitalpa 
669,11100087, 
670,11100088,Amblysomus 
671,11100089,Amblysomus 
672,11100090,Amblysomus 
673,11100091,Amblysomus 
674,11100092,Amblysomus 
675,11100093,Amblysomus 
676,11100094,Amblysomus 
677,11100095,Amblysomus 
678,11100096,Amblysomus 
679,11100097,Amblysomus 
680,11100098,Amblysomus 
681,11100099,Amblysomus 
682,11100100,Amblysomus 
683,11100101,Calcochloris 
684,11100102,Calcochloris Calcochloris
685,11100103,Calcochloris Huetia
686,11100104,Calcochloris Huetia
687,11100105,Calcochloris Huetia
688,11100106,Calcochloris Huetia
689,11100107,Calcochloris Calcochloris
690,11100108,Calcochloris Calcochloris
691,11100109,Calcochloris Calcochloris
692,11100110,Calcochloris Calcochloris
693,11100111,Calcochloris [incertae sedis]
694,11100112,Neamblysomus 
695,11100113,Neamblysomus 
696,11100114,Neamblysomus 
697,11200001, 
698,11200002, 
699,11200003,Elephantulus 
700,11200004,Elephantulus 
701,11200005,Elephantulus 
702,11200006,Elephantulus 
703,11200007,Elephantulus 
704,11200008,Elephantulus 
705,11200009,Elephantulus 
706,11200010,Elephantulus 
707,11200011,Elephantulus 
708,11200012,Elephantulus 
709,11200013,Elephantulus 
710,11200014,Elephantulus 
711,11200015,Elephantulus 
712,11200016,Elephantulus 
713,11200017,Elephantulus 
714,11200018,Elephantulus 
715,11200019,Elephantulus 
716,11200020,Elephantulus 
717,11200021,Elephantulus 
718,11200022,Macroscelides 
719,11200023,Macroscelides 
720,11200024,Macroscelides 
721,11200025,Macroscelides 
722,11200026,Petrodromus 
723,11200027,Petrodromus 
724,11200028,Petrodromus 
725,11200029,Petrodromus 
726,11200030,Petrodromus 
727,11200031,Petrodromus 
728,11200032,Petrodromus 
729,11200033,Petrodromus 
730,11200034,Petrodromus 
731,11200035,Petrodromus 
732,11200036,Petrodromus 
733,11200037,Rhynchocyon 
734,11200038,Rhynchocyon 
735,11200039,Rhynchocyon 
736,11200040,Rhynchocyon 
737,11200041,Rhynchocyon 
738,11200042,Rhynchocyon 
739,11200043,Rhynchocyon 
740,11200044,Rhynchocyon 
741,11200045,Rhynchocyon 
742,11200046,Rhynchocyon 
743,11200047,Rhynchocyon 
744,11200048,Rhynchocyon 
745,11300001, 
746,11300002, 
747,11300003,Orycteropus 
748,11300004,Orycteropus 
749,11300005,Orycteropus 
750,11300006,Orycteropus 
751,11300007,Orycteropus 
752,11300008,Orycteropus 
753,11300009,Orycteropus 
754,11300010,Orycteropus 
755,11300011,Orycteropus 
756,11300012,Orycteropus 
757,11300013,Orycteropus 
758,11300014,Orycteropus 
759,11300015,Orycteropus 
760,11300016,Orycteropus 
761,11300017,Orycteropus 
762,11300018,Orycteropus 
763,11300019,Orycteropus 
764,11300020,Orycteropus 
765,11300021,Orycteropus 
766,11400001, 
767,11400002, 
768,11400003,Dendrohyrax 
769,11400004,Dendrohyrax 
770,11400005,Dendrohyrax 
771,11400006,Dendrohyrax 
772,11400007,Dendrohyrax 
773,11400008,Dendrohyrax 
774,11400009,Dendrohyrax dorsalis
775,11400010,Dendrohyrax dorsalis
776,11400011,Dendrohyrax dorsalis
777,11400012,Heterohyrax 
778,11400013,Heterohyrax brucei
779,11400014,Heterohyrax brucei
780,11400015,Heterohyrax brucei
781,11400016,Heterohyrax brucei
782,11400017,Heterohyrax brucei
783,11400018,Heterohyrax brucei
784,11400019,Heterohyrax brucei
785,11400020,Heterohyrax brucei
786,11400021,Heterohyrax brucei
787,11400022,Heterohyrax brucei
788,11400023,Heterohyrax brucei
789,11400024,Heterohyrax brucei
790,11400025,Heterohyrax brucei
791,11400026,Heterohyrax brucei
792,11400027,Heterohyrax brucei
793,11400028,Heterohyrax brucei
794,11400029,Heterohyrax brucei
795,11400030,Heterohyrax brucei
796,11400031,Heterohyrax brucei
797,11400032,Heterohyrax brucei
798,11400033,Heterohyrax brucei
799,11400034,Heterohyrax brucei
800,11400035,Heterohyrax brucei
801,11400036,Heterohyrax brucei
802,11400037,Heterohyrax brucei
803,11400038,Heterohyrax brucei
804,11400039,Procavia 
805,11400040,Procavia capensis
806,11400041,Procavia capensis
807,11400042,Procavia capensis
808,11400043,Procavia capensis
809,11400044,Procavia capensis
810,11400045,Procavia capensis
811,11400046,Procavia capensis
812,11400047,Procavia capensis
813,11400048,Procavia capensis
814,11400049,Procavia capensis
815,11400050,Procavia capensis
816,11400051,Procavia capensis
817,11400052,Procavia capensis
818,11400053,Procavia capensis
819,11400054,Procavia capensis
820,11400055,Procavia capensis
821,11400056,Procavia capensis
822,11400057,Procavia capensis
823,11500001, 
824,11500002, 
825,11500003,Elephas 
826,11500004,Elephas maximus
827,11500005,Elephas maximus
828,11500006,Elephas maximus
829,11500007,Elephas maximus
830,11500008,Loxodonta 
831,11500009,Loxodonta africana
832,11500010,Loxodonta cyclotis
833,11600001, 
834,11600002, 
835,11600003, 
836,11600004,Dugong 
837,11600005,Dugong dugon
838,11600006, 
839,11600007,Hydrodamalis 
840,11600008,Hydrodamalis gigas
841,11600009, 
842,11600010,Trichechus 
843,11600011,Trichechus inunguis
844,11600012,Trichechus manatus
845,11600013,Trichechus senegalensis
846,11700001, 
847,11700002, 
848,11700003, 
849,11700004,Dasypus 
850,11700005,Dasypus hybridus
851,11700006,Dasypus kappleri
852,11700007,Dasypus kappleri
853,11700008,Dasypus kappleri
854,11700009,Dasypus novemcinctus
855,11700010,Dasypus novemcinctus
856,11700011,Dasypus novemcinctus
857,11700012,Dasypus novemcinctus
858,11700013,Dasypus novemcinctus
859,11700014,Dasypus novemcinctus
860,11700015,Dasypus novemcinctus
861,11700016,Dasypus pilosus
862,11700017,Dasypus sabanicola
863,11700018,Dasypus septemcinctus
864,11700019,Dasypus yepesi
865,11700020, 
866,11700021,Calyptophractus 
867,11700022,Calyptophractus retusus
868,11700023,Chaetophractus 
869,11700024,Chaetophractus nationi
870,11700025,Chaetophractus vellerosus
871,11700026,Chaetophractus vellerosus
872,11700027,Chaetophractus vellerosus
873,11700028,Chaetophractus villosus
874,11700029,Chlamyphorus 
875,11700030,Chlamyphorus truncatus
876,11700031,Euphractus 
877,11700032,Euphractus sexcinctus
878,11700033,Euphractus sexcinctus
879,11700034,Euphractus sexcinctus
880,11700035,Euphractus sexcinctus
881,11700036,Euphractus sexcinctus
882,11700037,Euphractus sexcinctus
883,11700038,Zaedyus 
884,11700039,Zaedyus pichiy
885,11700040,Zaedyus pichiy
886,11700041,Zaedyus pichiy
887,11700042, 
888,11700043,Cabassous 
889,11700044,Cabassous centralis
890,11700045,Cabassous chacoensis
891,11700046,Cabassous tatouay
892,11700047,Cabassous unicinctus
893,11700048,Cabassous unicinctus
894,11700049,Cabassous unicinctus
895,11700050,Priodontes 
896,11700051,Priodontes maximus
897,11700052,Tolypeutes 
898,11700053,Tolypeutes matacus
899,11700054,Tolypeutes tricinctus
900,11800001, 
901,11800002, 
902,11800003, 
903,11800004, 
904,11800005,pygmaeus 
905,11800006,torquatus 
906,11800007,tridactylus 
907,11800008,variegatus 
908,11800009,variegatus 
909,11800010,variegatus 
910,11800011,variegatus 
911,11800012,variegatus 
